        Date        , GPU Clock [MHz] , Memory Clock [MHz] , UVD Clock [MHz] , UVD Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , Mem1 VRM Temperature [°C] , Mem2 VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , GPU Voltage [V] , Memory Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-11-11 20:06:02 ,         285.0   ,           1746.0   ,           0.0   ,           0.0   ,               58.0   ,                          60.0   ,                  58.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         10   ,                        7   ,                       3792   ,                      530   ,                  53.0   ,         1.200   ,            0.850   ,               69.0   ,                 13927   ,
2024-11-11 20:06:03 ,         182.0   ,           1746.0   ,           0.0   ,           0.0   ,               58.0   ,                          59.0   ,                  58.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          7   ,                        4   ,                       3799   ,                      530   ,                  47.0   ,         1.200   ,            0.850   ,               67.9   ,                 13926   ,
2024-11-11 20:06:04 ,         307.0   ,           1746.0   ,           0.0   ,           0.0   ,               58.0   ,                          59.0   ,                  58.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         13   ,                        6   ,                       3788   ,                      530   ,                  49.0   ,         1.200   ,            0.850   ,               67.1   ,                 13914   ,
2024-11-11 20:06:05 ,         336.0   ,           1748.0   ,           0.0   ,           0.0   ,               57.0   ,                          59.0   ,                  58.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         15   ,                        8   ,                       3788   ,                      530   ,                  59.0   ,         0.725   ,            0.850   ,               66.1   ,                 13943   ,
2024-11-11 20:06:06 ,         332.0   ,           1744.0   ,           0.0   ,           0.0   ,               58.0   ,                          59.0   ,                  58.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          8   ,                        4   ,                       3788   ,                      530   ,                  43.0   ,         1.200   ,            0.850   ,               65.0   ,                 13924   ,
2024-11-11 20:06:07 ,         144.0   ,           1744.0   ,           0.0   ,           0.0   ,               57.0   ,                          59.0   ,                  58.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          3   ,                        3   ,                       3768   ,                      530   ,                  43.0   ,         1.200   ,            0.850   ,               64.0   ,                 13926   ,
2024-11-11 20:06:08 ,         395.0   ,           1746.0   ,           0.0   ,           0.0   ,               58.0   ,                          59.0   ,                  58.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         14   ,                       11   ,                       3709   ,                      530   ,                  56.0   ,         1.200   ,            0.850   ,               63.0   ,                 13925   ,
2024-11-11 20:06:09 ,         276.0   ,           1748.0   ,           0.0   ,           0.0   ,               58.0   ,                          59.0   ,                  58.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         12   ,                        9   ,                       3701   ,                      530   ,                  56.0   ,         0.725   ,            0.850   ,               62.1   ,                 13949   ,
2024-11-11 20:06:10 ,         244.0   ,           1744.0   ,           0.0   ,           0.0   ,               58.0   ,                          60.0   ,                  58.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          9   ,                        8   ,                       3701   ,                      530   ,                  44.0   ,         1.200   ,            0.850   ,               61.3   ,                 13942   ,
2024-11-11 20:06:11 ,         129.0   ,           1748.0   ,           0.0   ,           0.0   ,               58.0   ,                          60.0   ,                  58.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          5   ,                        5   ,                       3701   ,                      530   ,                  46.0   ,         0.725   ,            0.850   ,               60.5   ,                 13946   ,
